First Name,Last Name,Record Type ID,Family Name,Birthdate,Email,Home Phone,Arts Activities,Water Activities,Diabetic,Nut Allergy
Abdul,Kerwick,Guardian,Kerwick Family,,AKerwick@example.com,9629706855,TRUE,FALSE,FALSE,FALSE
Vera,Stonehouse,Guardian,Stonehouse Family,,VStonehouse@example.com,5002031016,TRUE,FALSE,TRUE,FALSE
Tyne,Studman,Guardian,Studman Family,,TStudman@example.com,1523574938,FALSE,TRUE,FALSE,FALSE
Tucker,Syde,Guardian,Syde Family,,TSyde@example.com,9809294403,FALSE,FALSE,TRUE,FALSE
Titos,Symms,Guardian,Symms Family,,TSymms@example.com,1813586464,FALSE,FALSE,FALSE,FALSE
Tibold,Thams,Guardian,Thams Family,,TThams@example.com,3603425915,TRUE,FALSE,FALSE,FALSE
Terrence,Tousy,Guardian,Tousy Family,,TTousy@example.com,6222480824,TRUE,FALSE,FALSE,FALSE
Tansy,Veart,Guardian,Veart Family,,TVeart@example.com,9465549389,FALSE,FALSE,FALSE,FALSE
Tandie,Westell,Guardian,Westell Family,,TWestell@example.com,8879316267,TRUE,FALSE,FALSE,FALSE
Tammi,Wickwarth,Guardian,Wickwarth Family,,TWickwarth@example.com,3678104560,FALSE,FALSE,FALSE,FALSE
Susanne,Willgoss,Guardian,Willgoss Family,,SWillgoss@example.com,5806558990,FALSE,FALSE,FALSE,FALSE
Susana,Wiz,Guardian,Wiz Family,,SWiz@example.com,8868137257,TRUE,FALSE,FALSE,FALSE
Susana,Yanuk,Guardian,Yanuk Family,,SYanuk@example.com,2449770939,TRUE,FALSE,FALSE,FALSE
